time,x,y,id,risk-so-far,total-risk
6.08,2.5725,1.3198,4,0.0,0.0
6.08,2.7101,2.0963,5,0.0,0.00010643444897329157
6.08,3.7501,3.0334,6,0.0,0.0011719952137613232
6.08,4.128,1.4999,7,0.0,0.0
6.08,4.5813,3.5634,8,0.0,1.1600725181803995e-05
6.12,1.3689,1.9295,1,0.0,0.0
6.12,1.7363,3.022,2,0.0,0.0
6.12,1.8173,3.7108,3,0.0,0.0
6.12,2.5176,1.3157,4,0.0,0.0
6.12,2.661,2.0977,5,0.0,0.00010643444897329157
6.12,3.6952,3.0422,6,0.0,0.0011719952137613232
6.12,4.0465,1.5053,7,0.0,0.0
6.12,4.5152,3.5713,8,0.0,1.1600725181803995e-05
6.16,1.3109,1.9383,1,0.0,0.0
6.16,1.6746,3.0086,2,0.0,0.0
6.16,1.7569,3.7037,3,0.0,0.0
6.16,2.4654,1.3137,4,0.0,0.0
6.16,2.6044,2.1052,5,0.0,0.00010643444897329157
6.16,3.6307,3.0537,6,0.0,0.0011719952137613232
6.16,3.9755,1.5111,7,0.0,0.0
6.16,4.4505,3.5776,8,0.0,1.1600725181803995e-05
6.2,1.2557,1.9419,1,0.0,0.0
6.2,1.6168,2.9956,2,0.0,0.0
6.2,1.6888,3.7017,3,0.0,0.0
6.2,2.4089,1.3112,4,0.0,0.0
6.2,2.5424,2.1152,5,0.0,0.00010643444897329157
6.2,3.5727,3.0625,6,0.0,0.0011719952137613232
6.2,3.915,1.5172,7,0.0,0.0
6.2,4.3925,3.5831,8,0.0,1.1600725181803995e-05
6.24,1.203,1.9508,1,0.0,0.0
6.24,1.5623,2.9829,2,0.0,0.0
6.24,1.6235,3.6919,3,0.0,0.0
6.24,2.3522,1.3283,4,0.0,0.0
6.24,2.4672,2.1127,5,0.0,0.00010643444897329157
6.24,3.5101,3.0677,6,0.0,0.0011719952137613232
6.24,3.8441,1.5203,7,0.0,0.0
6.24,4.3424,3.5967,8,0.0,1.1600725181803995e-05
6.28,1.1477,1.9597,1,0.0,0.0
6.28,1.5105,2.9732,2,0.0,0.0
6.28,1.5633,3.6875,3,0.0,0.0
6.28,2.2869,1.3141,4,0.0,0.0
6.28,2.3979,2.1191,5,0.0,0.00010643444897329157
6.28,3.4358,3.0794,6,0.0,0.0011719952137613232
6.28,3.7758,1.5235,7,0.0,0.0
6.28,4.257,3.5829,8,0.0,1.1600725181803995e-05
6.32,1.095,1.966,1,0.0,0.0
